wind_speed,wind_direction,grid_current,grid_voltage,production
9.0,67.8,1310.1,379.8,245426.0362
10.1,62.8,2058.9,382.0,390462.0511
8.5,64.6,1533.1,381.3,288243.9186
11.4,68.5,2360.0,381.1,447926.2332
9.4,72.1,1637.2,381.8,307605.2601
11.7,64.8,2400.1,383.1,454134.8710
11.4,67.5,2464.2,383.2,469325.0517
10.8,67.7,2247.2,383.3,425412.2920
8.7,67.0,1487.4,382.4,277103.9181
8.6,72.1,1519.9,382.5,283820.5388
8.8,70.5,1723.1,382.4,323572.9868
7.5,66.9,1104.0,381.5,199987.6303
7.8,64.9,1144.9,381.6,206373.4475
8.5,73.0,1447.0,380.5,269621.0298
9.4,74.9,2016.2,380.8,379807.5189
7.8,67.1,1190.6,379.9,219335.8060
7.6,68.5,1085.3,379.3,200114.9132
7.8,72.6,1173.2,378.8,218297.2519
7.6,69.8,918.8,378.6,169853.0449
6.3,70.3,613.9,378.2,112140.4346
7.8,66.8,1156.1,378.9,216377.3907
7.7,76.3,1087.0,377.8,204935.9922
7.2,81.8,766.2,376.5,144045.8559
6.6,81.8,846.9,377.6,158664.2730
8.6,86.1,1249.7,378.2,235831.4783
8.6,85.4,1433.4,378.5,270090.8811
8.1,85.7,1019.9,376.4,191364.4077
8.8,86.3,1433.0,376.3,269424.9026
6.8,74.4,834.4,375.5,156712.9557
5.9,87.6,499.2,374.4,93421.6466
6.0,86.1,377.0,373.6,70020.0351
4.5,88.6,219.6,373.4,40022.4232
3.7,75.2,83.9,372.6,9826.9562
3.6,76.1,109.9,372.1,17110.3432
3.1,71.5,73.7,372.2,5780.0927
3.3,80.5,56.9,371.9,2867.0790
2.1,125.4,52.8,372.5,-4066.4719
2.1,99.2,48.0,372.4,-4272.1388
2.7,111.8,45.2,373.2,-2740.9122
2.1,172.9,48.7,373.4,-4041.7948
3.9,160.8,79.9,374.0,6770.9944
5.0,135.0,205.6,374.7,37405.8778
6.0,133.9,435.2,375.0,81277.5192
6.1,133.4,426.1,375.2,79061.4638
6.1,136.8,509.9,375.0,94996.7036
6.0,139.7,558.9,374.4,104317.7711
7.1,150.7,856.0,376.0,161008.4517
7.9,160.4,1133.7,377.3,213951.3290
7.5,161.7,1144.2,378.4,216307.3008
8.0,162.9,1217.1,379.1,229644.7194
8.1,158.1,1417.0,379.1,268315.0223
8.1,164.7,1334.4,378.7,252110.7631
6.7,164.9,843.0,377.4,159100.4597
5.6,156.3,357.2,375.9,66911.4288
5.2,149.3,248.4,375.0,45822.5044
5.5,156.4,350.0,373.7,64770.9329
5.8,165.6,414.0,372.5,76546.6697
4.6,174.2,269.3,372.4,48962.6815
3.9,175.4,124.1,371.8,20107.4910
3.9,170.7,148.9,371.5,25199.3406
4.6,164.0,209.2,371.9,37455.0644
4.6,175.8,155.8,372.3,26926.2250
5.4,169.8,287.3,372.9,52848.0472
4.7,182.8,307.9,373.6,56961.4473
5.0,185.7,281.7,373.5,52093.6159
4.8,189.7,275.0,373.4,50793.5854
5.3,193.7,300.1,373.7,55463.0196
5.2,198.7,300.0,374.1,55493.8355
4.9,193.3,231.3,373.9,41940.5417
3.8,190.2,150.3,374.1,25979.4183
3.2,194.2,70.1,373.8,7569.7541
3.1,193.3,61.9,373.4,4751.1789
3.0,196.8,57.9,373.5,1066.4585
3.6,198.8,64.8,373.7,5750.1111
